European,Canadian,Japanese,6.19,5.49,4.79,Rich full bodied,Regular,Crisp and clear,Strong,Mild,Very mild,Full,Regular,Low,Six 12Oz Large,Six 12Oz Small,Four 16Oz,Green Label,Brown Label,Brown Painted
21,19,0,0,8,7,11,0,12,0,24,21,10,4,0,9,19,0,0,5,1
21,0,11,0,11,5,9,0,13,0,14,1,0,10,6,16,2,0,0,13,16
21,0,12,0,6,4,15,0,7,0,21,3,15,3,0,12,0,2,10,0,0
12,0,15,0,6,3,10,0,16,0,17,4,27,0,17,11,2,0,9,8,0
26,0,14,0,2,6,5,0,10,0,25,13,18,0,0,14,0,3,1,0,1
2,2,0,0,11,2,4,0,12,0,9,1,0,15,35,21,0,8,0,8,9
15,0,14,0,19,9,2,0,10,0,16,4,1,8,0,14,0,1,0,12,18
3,0,13,0,13,6,7,0,6,6,6,0,0,25,24,7,0,9,0,20,27
14,0,12,1,0,2,25,0,11,0,18,4,26,0,12,14,0,10,0,0,1
16,0,11,17,11,0,21,0,6,5,11,0,0,14,12,17,0,1,0,2,4
21,0,17,0,5,10,4,0,15,0,28,18,14,0,0,12,1,0,0,0,0
24,0,14,0,11,1,11,0,11,0,9,2,0,10,4,15,0,1,0,13,20
3,0,8,11,0,5,29,0,7,0,19,12,22,0,9,0,3,0,3,8,0
2,0,10,5,0,7,12,4,0,6,0,0,14,0,21,0,18,36,7,2,0
11,20,0,20,0,8,0,23,14,0,5,2,5,0,4,12,0,6,16,2,0
27,0,34,0,3,0,23,0,4,16,0,3,4,0,7,13,7,0,1,4,0
13,26,0,0,16,12,8,0,21,0,3,2,8,0,8,11,4,0,0,15,5
8,0,9,0,2,2,11,0,12,13,22,0,27,0,9,15,0,10,0,13,13
12,0,6,0,11,5,15,0,5,0,5,6,0,15,20,15,0,5,0,17,21
8,0,7,5,9,0,12,0,19,0,19,10,5,0,19,17,0,6,0,8,9
20,0,20,2,0,10,11,0,2,0,15,10,25,0,4,11,0,1,8,6,0
19,0,12,10,3,0,19,0,6,0,16,4,13,0,10,4,0,4,0,18,14
15,0,16,28,0,11,12,0,0,2,8,0,3,0,4,0,14,2,6,17,0
16,1,0,13,12,0,4,0,5,0,11,7,0,0,27,24,0,9,3,4,0
14,0,5,6,0,2,24,0,14,0,23,6,17,0,4,10,0,8,6,0,4
26,0,16,0,2,0,7,0,13,0,23,13,16,0,14,18,0,6,2,1,0
10,0,16,12,0,9,9,0,13,0,24,0,25,1,0,7,0,1,3,3,0
17,0,8,1,7,0,10,0,15,0,23,9,12,0,7,18,0,2,0,7,9
21,0,8,4,10,0,14,0,13,0,17,2,18,0,12,14,0,7,0,4,5
12,0,7,0,6,2,10,0,16,0,16,20,30,0,13,5,0,2,11,0,3
17,3,0,10,7,0,1,0,13,0,15,6,13,0,30,11,0,12,1,3,0
24,5,0,0,2,5,18,0,12,0,12,3,13,0,19,19,0,5,0,4,1
1,3,0,15,0,29,7,0,19,12,19,0,0,14,5,0,12,11,3,0,1
29,0,23,21,0,6,5,0,2,0,9,0,0,5,7,6,12,0,0,18,4
0,0,2,12,9,0,18,0,1,12,14,0,0,7,1,29,0,23,5,0,17
8,0,1,0,14,13,11,0,11,0,13,3,19,0,4,25,0,14,9,0,10
8,0,16,3,1,0,16,7,0,12,21,0,18,0,6,12,0,12,12,5,0
24,0,18,0,0,1,8,0,9,0,28,12,24,0,0,10,1,0,2,4,0
0,9,7,0,19,26,14,0,7,11,19,0,1,10,0,5,0,13,8,0,10
11,0,1,0,6,6,37,0,18,0,16,5,10,0,12,11,0,4,0,6,7
17,0,29,14,1,0,10,0,7,15,22,0,0,16,9,6,0,2,0,3,2
19,0,13,11,3,0,18,0,21,0,17,3,10,0,19,12,0,5,1,2,0
16,0,10,2,0,3,24,0,10,0,17,6,22,0,0,7,0,9,0,3,9
25,0,15,0,1,12,0,1,10,0,17,11,18,0,1,12,5,0,3,5,0
16,0,13,3,0,7,17,0,7,0,19,8,25,0,10,13,0,9,3,2,0
4,0,4,11,0,6,0,4,15,0,26,2,0,3,25,2,0,13,2,6,0
0,5,19,0,16,26,14,13,0,0,2,9,0,22,10,0,1,2,7,1,0
30,23,0,15,0,23,5,0,10,1,0,2,0,10,0,12,10,0,14,0,1
19,0,16,10,0,9,22,0,18,0,6,2,4,0,13,4,0,7,0,22,23
21,0,14,2,0,5,8,0,8,0,29,15,23,3,0,9,6,0,2,5,0
30,0,24,6,4,0,9,0,0,13,18,0,19,0,5,0,0,7,0,12,7
25,0,5,7,10,0,6,0,11,0,1,2,0,14,23,11,0,0,0,18,13
1,0,11,0,6,4,40,2,0,4,0,2,15,0,1,14,0,14,0,1,9
2,0,1,11,3,0,9,0,9,0,6,11,9,0,27,35,0,9,5,2,0
18,9,0,19,14,0,1,0,6,0,21,4,4,0,6,24,0,14,6,0,3
0,11,10,5,0,0,0,16,7,22,0,10,0,8,13,7,0,17,16,0,8
1,4,0,1,0,4,17,0,3,7,15,0,0,32,45,0,3,10,1,5,0
9,0,17,0,19,7,0,2,5,0,13,9,0,16,15,9,0,4,0,18,22
4,0,6,9,0,6,0,7,8,29,22,0,10,4,0,13,16,0,22,17,0
